userAddress,poolAddress,tokenAddress,blockNumber,balance,timestamp
0x044cfe55e8dc1c0bcc50deae8d49ced47aef0d3e,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,590679668821432083,1713146329
0x047bb962cd288384e0cf4f408ad44f7de0145ef3,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,183463502652903166,1713146329
0x04926b93a2bd1d8e86294b5130cc9580744ae3ea,0x9f4baa696954ea954090231a582d535854b1b40e,0xf5d3953a33f78e0412a8988fd77b4920aa968b0b,600000,273359171476565775829,1713146329
0x049808d5eaa90a2665b9703d2246dded34f1eb73,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,0,1713146329
0x049808d5eaa90a2665b9703d2246dded34f1eb73,0x8c4ba925d899ccde6d3657fcd9416c819edbef97,0xdeec33dc735baf36b473598c33bcd077a0f32049,600000,27175063150144167533,1713146329
0x04aa227f705abc532418743aa5163a33b991670d,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,114664211341882517,1713146329
0x04aa227f705abc532418743aa5163a33b991670d,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,58296560593448485,1713146329
0x04b970b2539e98755438e6da19b204f102dde11e,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,88622748546295120,1713146329
0x04d5317bc34790ce73c0261c4031d34f6ed5d346,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,0,1713146329
0x04e0931c3d6d4cafb8d4d03f3604adec72180948,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,157246115142835893,1713146329
0x04e376f80b5ea46b64589711441a2d7e9df44bf9,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,347791099815810487,1713146329
0x0505e02a042b1c45e2ba6fc154b846831707ab3b,0x9f4baa696954ea954090231a582d535854b1b40e,0xf5d3953a33f78e0412a8988fd77b4920aa968b0b,600000,88788330650301698725,1713146329
0x051ab9b2396c312f8bc3bc113ae2844affc2a8c4,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,327631191416183173,1713146329
0x051d8bfabf027a5b9e4862a75added24b85cea08,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,163338868791128087,1713146329
0x0530887d7e291af3a15a60c37b612fbd7700bb3a,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,160522535726860825,1713146329
0x055ae481714e8136c1569dcf0f36c6671dfb18e4,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,591155646121164155,1713146329
0x0567d99a4420b8da0fd91c5ecba78955c04974f0,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,295539874884557505,1713146329
0x05969c8e051057ea54f1175ae9bac2b6cd7a206b,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,65519843637171332,1713146329
0x05a2d5a13c8610a26125af7cdc7f881995ad2fe7,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,0,1713146329
0x05b938467c7009733719c48410d6fd939a320271,0x8c4ba925d899ccde6d3657fcd9416c819edbef97,0xdeec33dc735baf36b473598c33bcd077a0f32049,600000,185286062494413911,1713146329
0x05cca6ff180c7f8039060424dd6ee51db7619b75,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,32759387897300425,1713146329
0x05f3c3840160ed96722d2ae790ccf369d357363e,0x8c4ba925d899ccde6d3657fcd9416c819edbef97,0xdeec33dc735baf36b473598c33bcd077a0f32049,600000,240220344497834437,1713146329
0x063526bd11b3140d6a52ce85eb5f271ec8ec8a7e,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,312155353931370473,1713146329
0x065f39ad0a4310e3901bc06eee456928a64eb8ec,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,163801366057215505,1713146329
0x0663ab48fc093432f3916408f68c867f2eea9722,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,2008749109755492323,1713146329
0x0670756b2a7de684f967de5ef351fe80daf51d64,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,275179522464651640,1713146329
0x067ba58e62ebb5fdbff2545fb76dae98992c2b46,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,57393961636577293,1713146329
0x067cc134c7439f9be72443c8a52c87021cd744fb,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,45862978994187814,1713146329
0x068ecb73501f0426d790c7f8935f197c7d58611e,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,157901714998435298,1713146329
0x0692abef31d425e4f97eb2fa5b9dc872585ef6ce,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,982786771122231090,1713146329
0x0699fcc336676c0a9a67ff016789e1c881ef54db,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,349512974519733622,1713146329
0x06a05d6d264b716562573a03f6e2a79ea725197a,0xdd6105865380984716c6b2a1591f9643e6ed1c48,0x1b49ecf1a8323db4abf48b2f5efaa33f7ddab3fc,600000,127806869017815512,1713146329
0x06a1f444b5d2615766aa96969de35f1b7186a490,0xb666582f612692525c4027d2a8280ac06a055a95,0x0000000000000000000000000000000000000000,600000,6551889923266108,1713146329
